company_cd,rr_cd,company_name,company_name_k,company_name_h,company_name_r,company_url,company_type,e_status,e_sort
244,99,こうべ未来都市機構,,こうべ未来都市機構,こうべ未来都市機構,,0,0,244
246,99,ラクテンチ,,ラクテンチ,ラクテンチ,,0,0,246
247,99,丹後海陸交通,,丹後海陸交通,丹後海陸交通,,0,0,247
249,99,十国鋼索線,,十国鋼索線,十国鋼索線,,0,0,249
250,99,四国ケーブル,,四国ケーブル,四国ケーブル,,0,0,250
251,99,大山観光電鉄,,大山観光電鉄,大山観光電鉄,,0,0,251
252,99,岳南電車,,岳南電車,岳南電車,,0,0,252
253,99,御岳登山鉄道,,御岳登山鉄道,御岳登山鉄道,,0,0,253
255,99,比叡山鉄道,,比叡山鉄道,比叡山鉄道,,0,0,255
256,99,皿倉登山鉄道,,皿倉登山鉄道,皿倉登山鉄道,,0,0,256
257,99,神戸六甲鉄道,,神戸六甲鉄道,神戸六甲鉄道,,0,0,257
258,99,立山黒部貫光,,立山黒部貫光,立山黒部貫光,,0,0,258
259,99,筑波観光鉄道,,筑波観光鉄道,筑波観光鉄道,,0,0,259
260,99,舞浜リゾートライン,,舞浜リゾートライン,舞浜リゾートライン,,0,0,260
261,99,鞍馬寺,,鞍馬寺,鞍馬寺,,0,0,261
262,99,高尾登山電鉄,,高尾登山電鉄,高尾登山電鉄,,0,0,262